"id_subj","group","n_trial","rt","acc","identity"
"CNTRL01","CTRL",86,0.716,1,"non-matching TU"
"CNTRL01","CTRL",87,0.966,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",88,1.492,1,"non-matching TU"
"CNTRL01","CTRL",89,0.987,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",90,0.526,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",91,0.858,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",92,0.725,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",93,NA,0,"non-matching TU"
"CNTRL01","CTRL",94,0.902,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",95,0.801,1,"matching TU"
"CNTRL01","CTRL",96,0.792,1,"matching TU"
"CNTRL01","CTRL",97,0.65,1,"matching TU"
"CNTRL01","CTRL",98,0.899,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",99,0.587,1,"matching TU"
"CNTRL01","CTRL",100,0.801,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",101,1.168,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",102,0.709,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",103,0.683,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",104,0.731,1,"non-matching TU"
"CNTRL01","CTRL",105,0.743,0,"matching SCONOSCIUTO"
"CNTRL01","CTRL",106,0.74,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",107,0.834,1,"non-matching TU"
"CNTRL01","CTRL",108,0.967,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",109,0.532,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",110,0.573,1,"matching TU"
"CNTRL01","CTRL",111,0.603,1,"matching TU"
"CNTRL01","CTRL",112,0.357,1,"matching TU"
"CNTRL01","CTRL",113,0.758,1,"non-matching TU"
"CNTRL01","CTRL",114,0.502,1,"non-matching TU"
"CNTRL01","CTRL",115,0.723,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",116,0.658,1,"non-matching TU"
"CNTRL01","CTRL",117,0.589,1,"matching TU"
"CNTRL01","CTRL",118,0.851,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",119,0.697,1,"matching TU"
"CNTRL01","CTRL",120,0.748,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",121,0.949,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",122,0.718,1,"non-matching TU"
"CNTRL01","CTRL",123,0.535,1,"matching TU"
"CNTRL01","CTRL",124,0.626,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",125,0.59,1,"matching TU"
"CNTRL01","CTRL",126,1.067,1,"non-matching TU"
"CNTRL01","CTRL",127,0.474,1,"matching TU"
"CNTRL01","CTRL",128,0.725,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",129,0.816,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",130,0.915,1,"non-matching TU"
"CNTRL01","CTRL",131,0.774,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",132,0.8,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",133,0.715,1,"non-matching TU"
"CNTRL01","CTRL",134,0.749,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",135,0.716,1,"matching TU"
"CNTRL01","CTRL",136,1.098,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",137,0.545,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",138,0.527,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",139,0.717,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",140,0.607,1,"matching TU"
"CNTRL01","CTRL",141,0.824,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",142,0.858,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",143,1.227,1,"non-matching TU"
"CNTRL01","CTRL",144,1.141,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",145,0.756,1,"non-matching TU"
"CNTRL01","CTRL",146,0.709,1,"non-matching TU"
"CNTRL01","CTRL",147,0.718,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",148,1.242,1,"non-matching TU"
"CNTRL01","CTRL",149,0.491,1,"matching TU"
"CNTRL01","CTRL",150,0.923,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",151,0.734,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",152,0.617,1,"matching TU"
"CNTRL01","CTRL",153,0.638,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",154,0.499,1,"matching TU"
"CNTRL01","CTRL",155,0.844,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",156,0.84,0,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",157,1.241,0,"matching SCONOSCIUTO"
"CNTRL01","CTRL",158,0.891,0,"matching SCONOSCIUTO"
"CNTRL01","CTRL",159,1.014,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",160,1.249,0,"matching SCONOSCIUTO"
"CNTRL01","CTRL",161,0.893,1,"non-matching TU"
"CNTRL01","CTRL",162,0.768,1,"non-matching TU"
"CNTRL01","CTRL",163,0.837,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",164,0.893,0,"matching SCONOSCIUTO"
"CNTRL01","CTRL",165,0.676,1,"non-matching TU"
"CNTRL01","CTRL",166,0.709,1,"matching TU"
"CNTRL01","CTRL",167,0.593,1,"matching TU"
"CNTRL01","CTRL",168,0.639,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",169,0.625,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",170,1.048,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",171,0.893,1,"matching TU"
"CNTRL01","CTRL",172,0.756,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",173,0.616,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",174,0.726,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",175,0.49,1,"matching TU"
"CNTRL01","CTRL",176,0.6,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",177,0.591,1,"matching TU"
"CNTRL01","CTRL",178,0.76,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",179,0.753,1,"non-matching TU"
"CNTRL01","CTRL",180,0.699,1,"non-matching TU"
"CNTRL01","CTRL",181,0.665,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",182,0.815,1,"non-matching TU"
"CNTRL01","CTRL",183,0.727,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",184,0.424,1,"matching TU"
"CNTRL01","CTRL",185,0.508,1,"matching TU"
"CNTRL01","CTRL",186,0.945,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",187,0.573,1,"matching TU"
"CNTRL01","CTRL",188,0.406,1,"matching TU"
"CNTRL01","CTRL",189,0.808,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",190,0.954,1,"non-matching TU"
"CNTRL01","CTRL",191,1.069,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",192,1.318,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",193,0.694,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",194,0.756,1,"non-matching TU"
"CNTRL01","CTRL",195,0.741,0,"matching TU"
"CNTRL01","CTRL",196,0.684,1,"non-matching TU"
"CNTRL01","CTRL",197,0.568,1,"matching TU"
"CNTRL01","CTRL",198,0.626,1,"non-matching TU"
"CNTRL01","CTRL",199,0.786,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",200,0.669,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",1,0.8869,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",2,0.8103,0,"non-matching TU"
"CNTRL02","CTRL",3,1.2808,1,"non-matching TU"
"CNTRL02","CTRL",4,1.5752,1,"non-matching TU"
"CNTRL02","CTRL",5,1.1418,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",6,0.8633,1,"matching TU"
"CNTRL02","CTRL",7,0.9888,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",8,1.1346,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",9,1.0913,1,"non-matching TU"
"CNTRL02","CTRL",10,1.4518,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",11,0.7443,1,"matching TU"
"CNTRL02","CTRL",12,0.7804,1,"matching TU"
"CNTRL02","CTRL",13,1.2408,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",14,0.834,1,"non-matching TU"
"CNTRL02","CTRL",15,1.4777,1,"non-matching TU"
"CNTRL02","CTRL",16,0.936,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",17,1.2013,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",18,0.7807,1,"matching TU"
"CNTRL02","CTRL",19,0.8531,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",20,1.2561,1,"non-matching TU"
"CNTRL02","CTRL",21,1.2583,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",22,1.1935,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",23,1.1077,1,"matching SCONOSCIUTO"
